instance_id,segment_id,date,interval,uptime,heavy,car,bike,pedestrian,heavy_lft,heavy_rgt,car_lft,car_rgt,bike_lft,bike_rgt,pedestrian_lft,pedestrian_rgt,direction,car_speed_hist_0to70plus,car_speed_hist_0to120plus,timezone,v85
-1,9000004028,2022-07-30T07:00:00.000Z,hourly,0.7769444444,193.0639971398,176.3317840543,77.2255988559,6.4354665713,10.2967465141,182.7672506257,111.9771183411,64.3546657133,29.6031462281,47.6224526278,1.2870933143,5.1483732571,1,"[51.8248175182, 29.9270072993, 13.1386861314, 2.9197080292, 0.7299270073, 0.0, 0.0, 1.4598540146]","[35.0364963504, 16.7883211679, 15.3284671533, 14.598540146, 11.6788321168, 1.4598540146, 2.1897810219, 0.7299270073, 0.7299270073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7299270073, 0.7299270073, 0.0, 0.0]",Europe/Brussels,19.0
-1,9000004028,2022-07-30T08:00:00.000Z,hourly,0.6972222222,239.5219123506,235.219123506,150.5976095618,2.8685258964,2.8685258964,236.6533864542,167.8087649402,67.4103585657,45.8964143426,104.7011952191,2.8685258964,0.0,1,"[38.4146341463, 32.9268292683, 17.6829268293, 6.0975609756, 1.8292682927, 0.0, 0.0, 3.0487804878]","[25.6097560976, 12.8048780488, 17.0731707317, 15.8536585366, 10.3658536585, 7.3170731707, 4.2682926829, 1.8292682927, 1.8292682927, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6097560976, 0.0, 0.0, 0.6097560976, 0.6097560976, 0.0, 0.0, 0.0, 1.2195121951, 0.0, 0.0]",Europe/Brussels,24.5
-1,9000004028,2022-07-30T09:00:00.000Z,hourly,0.7786111111,260.7206564395,348.0556546557,156.6892615055,33.3927934356,5.1373528362,255.5833036033,229.896539422,118.1591152337,56.5108811987,100.1783803068,10.2747056725,23.1180877631,1,"[22.1402214022, 31.3653136531, 31.3653136531, 8.8560885609, 1.8450184502, 1.4760147601, 1.8450184502, 1.1070110701]","[16.2361623616, 5.9040590406, 12.1771217712, 19.1881918819, 16.9741697417, 14.3911439114, 7.3800738007, 1.4760147601, 1.1070110701, 0.7380073801, 1.1070110701, 0.36900369, 0.7380073801, 1.1070110701, 0.0, 0.0, 0.0, 0.0, 0.36900369, 0.36900369, 0.0, 0.0, 0.0, 0.0, 0.36900369]",Europe/Brussels,27.5
-1,9000004028,2022-07-30T10:00:00.000Z,hourly,0.7794444444,282.2523164647,339.9857448325,168.068424804,39.77191732,11.5466856736,270.7056307912,230.9337134711,109.0520313614,65.4312188168,102.6372059872,12.8296507484,26.9422665716,1,"[28.679245283, 26.7924528302, 29.8113207547, 7.9245283019, 2.2641509434, 1.8867924528, 0.7547169811, 1.8867924528]","[15.0943396226, 13.5849056604, 12.0754716981, 14.7169811321, 15.0943396226, 14.7169811321, 5.2830188679, 2.641509434, 1.8867924528, 0.3773584906, 0.7547169811, 1.1320754717, 0.3773584906, 0.3773584906, 0.0, 0.0, 0.0, 0.7547169811, 0.0, 0.0, 0.0, 0.3773584906, 0.0, 0.3773584906, 0.3773584906]",Europe/Brussels,27.5
-1,9000004028,2022-07-30T11:00:00.000Z,hourly,0.6383333333,192.6892950392,449.6083550914,139.4255874674,42.2976501305,4.6997389034,187.9895561358,274.1514360313,175.4569190601,54.8302872063,84.5953002611,14.0992167102,28.1984334204,1,"[24.0418118467, 18.118466899, 26.8292682927, 14.6341463415, 4.8780487805, 2.0905923345, 3.4843205575, 5.9233449477]","[15.331010453, 8.7108013937, 5.2264808362, 12.8919860627, 14.2857142857, 12.543554007, 8.7108013937, 5.9233449477, 2.4390243902, 2.4390243902, 1.0452961672, 1.0452961672, 1.7421602787, 1.7421602787, 0.3484320557, 1.7421602787, 1.0452961672, 1.393728223, 0.3484320557, 0.0, 0.0, 0.3484320557, 0.0, 0.0, 0.6968641115]",Europe/Brussels,40.5
-1,9000004028,2022-07-30T12:00:00.000Z,hourly,0.7688888889,270.5202312139,421.387283237,172.9768786127,36.4161849711,15.6069364162,254.9132947977,275.7225433526,145.6647398844,71.5317919075,101.4450867052,10.4046242775,26.0115606936,1,"[30.5555555556, 22.5308641975, 27.1604938272, 7.4074074074, 4.012345679, 1.5432098765, 2.7777777778, 4.012345679]","[20.6790123457, 9.8765432099, 11.1111111111, 11.4197530864, 14.1975308642, 12.962962963, 5.5555555556, 1.8518518519, 2.7777777778, 1.2345679012, 0.6172839506, 0.9259259259, 0.9259259259, 1.8518518519, 0.3086419753, 0.9259259259, 0.0, 0.9259259259, 0.0, 0.6172839506, 0.6172839506, 0.0, 0.0, 0.0, 0.6172839506]",Europe/Brussels,32.0
-1,9000004028,2022-07-30T13:00:00.000Z,hourly,0.5758333333,218.8133140376,477.5687409551,177.1345875543,39.9421128799,6.9464544139,211.8668596237,361.2156295224,116.3531114327,76.4109985528,100.7235890014,19.1027496382,20.8393632417,1,"[31.2727272727, 22.1818181818, 28.7272727273, 8.7272727273, 3.2727272727, 2.1818181818, 1.8181818182, 1.8181818182]","[18.5454545455, 12.7272727273, 10.5454545455, 11.6363636364, 14.9090909091, 13.8181818182, 5.4545454545, 3.2727272727, 1.8181818182, 1.4545454545, 1.0909090909, 1.0909090909, 0.7272727273, 1.0909090909, 0.0, 0.3636363636, 0.3636363636, 1.0909090909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Brussels,30.0
-1,9000004028,2022-07-30T14:00:00.000Z,hourly,0.6619444444,193.3697020562,546.8736886278,175.2412924885,30.2140159463,12.0856063785,181.2840956777,416.9534200587,129.920268569,61.9387326899,113.3025597986,9.0642047839,21.1498111624,1,"[27.0718232044, 29.0055248619, 27.9005524862, 9.1160220994, 1.6574585635, 0.8287292818, 2.4861878453, 1.9337016575]","[16.0220994475, 11.0497237569, 13.8121546961, 15.1933701657, 15.7458563536, 12.1546961326, 6.9060773481, 2.2099447514, 1.3812154696, 0.2762430939, 0.8287292818, 0.0, 0.8287292818, 1.6574585635, 0.0, 0.2762430939, 0.5524861878, 0.0, 0.0, 0.2762430939, 0.0, 0.0, 0.5524861878, 0.0, 0.2762430939]",Europe/Brussels,28.0
-1,9000004028,2022-07-30T15:00:00.000Z,hourly,0.6936111111,230.6768121746,464.2370845014,197.5170204245,73.5282338807,4.3251902283,226.3516219463,377.7332799359,86.5038045655,76.4116940328,121.1053263917,34.6015218262,38.9267120545,1,"[38.198757764, 26.7080745342, 23.9130434783, 5.900621118, 3.1055900621, 0.9316770186, 1.2422360248, 0.0]","[26.0869565217, 12.1118012422, 12.1118012422, 14.5962732919, 14.5962732919, 9.3167701863, 4.6583850932, 1.2422360248, 1.8633540373, 1.2422360248, 0.6211180124, 0.3105590062, 0.9316770186, 0.3105590062, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Brussels,25.5
-1,9000004028,2022-07-30T16:00:00.000Z,hourly,0.7075,179.5053003534,448.0565371025,189.3992932862,53.7102473498,1.4134275618,178.0918727915,332.1554770318,115.9010600707,57.9505300353,131.4487632509,35.3356890459,18.3745583039,1,"[32.1766561514, 25.2365930599, 26.1829652997, 9.4637223975, 1.5772870662, 0.6309148265, 1.8927444795, 2.8391167192]","[19.5583596215, 12.61829653, 12.9337539432, 12.3028391167, 16.7192429022, 9.4637223975, 5.6782334385, 3.785488959, 1.261829653, 0.3154574132, 0.6309148265, 0.0, 0.6309148265, 1.261829653, 0.9463722397, 0.0, 0.6309148265, 0.0, 0.3154574132, 0.0, 0.0, 0.3154574132, 0.0, 0.3154574132, 0.3154574132]",Europe/Brussels,28.5
